fips,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
05047,0.0772,0.0725,0.0724,0.0736,0.08,0.0885,0.0873,0.0927,0.0914,0.0886,0.0902,0.093,0.0959,0.0951,0.0982,0.0992,0.1028,0.0981,0.098,0.1041,0.1127,0.1205,0.1225
05049,0.0772,0.0725,0.0724,0.0736,0.08,0.0885,0.0873,0.0927,0.0914,0.0886,0.0902,0.093,0.0959,0.0951,0.0982,0.0992,0.1028,0.0981,0.098,0.1041,0.1127,0.1205,0.1225
05051,0.0772,0.0725,0.0724,0.0736,0.08,0.0885,0.0873,0.0927,0.0914,0.0886,0.0902,0.093,0.0959,0.0951,0.0982,0.0992,0.1028,0.0981,0.098,0.1041,0.1127,0.1205,0.1225
05053,0.0772,0.0725,0.0724,0.0736,0.08,0.0885,0.0873,0.0927,0.0914,0.0886,0.0902,0.093,0.0959,0.0951,0.0982,0.0992,0.1028,0.0981,0.098,0.1041,0.1127,0.1205,0.1225
05055,0.0772,0.0725,0.0724,0.0736,0.08,0.0885,0.0873,0.0927,0.0914,0.0886,0.0902,0.093,0.0959,0.0951,0.0982,0.0992,0.1028,0.0981,0.098,0.1041,0.1127,0.1205,0.1225
05057,0.0772,0.0725,0.0724,0.0736,0.08,0.0885,0.0873,0.0927,0.0914,0.0886,0.0902,0.093,0.0959,0.0951,0.0982,0.0992,0.1028,0.0981,0.098,0.1041,0.1127,0.1205,0.1225
05059,0.0772,0.0725,0.0724,0.0736,0.08,0.0885,0.0873,0.0927,0.0914,0.0886,0.0902,0.093,0.0959,0.0951,0.0982,0.0992,0.1028,0.0981,0.098,0.1041,0.1127,0.1205,0.1225
05061,0.0772,0.0725,0.0724,0.0736,0.08,0.0885,0.0873,0.0927,0.0914,0.0886,0.0902,0.093,0.0959,0.0951,0.0982,0.0992,0.1028,0.0981,0.098,0.1041,0.1127,0.1205,0.1225
05063,0.0772,0.0725,0.0724,0.0736,0.08,0.0885,0.0873,0.0927,0.0914,0.0886,0.0902,0.093,0.0959,0.0951,0.0982,0.0992,0.1028,0.0981,0.098,0.1041,0.1127,0.1205,0.1225
05065,0.0772,0.0725,0.0724,0.0736,0.08,0.0885,0.0873,0.0927,0.0914,0.0886,0.0902,0.093,0.0959,0.0951,0.0982,0.0992,0.1028,0.0981,0.098,0.1041,0.1127,0.1205,0.1225
05067,0.0772,0.0725,0.0724,0.0736,0.08,0.0885,0.0873,0.0927,0.0914,0.0886,0.0902,0.093,0.0959,0.0951,0.0982,0.0992,0.1028,0.0981,0.098,0.1041,0.1127,0.1205,0.1225
05069,0.0772,0.0725,0.0724,0.0736,0.08,0.0885,0.0873,0.0927,0.0914,0.0886,0.0902,0.093,0.0959,0.0951,0.0982,0.0992,0.1028,0.0981,0.098,0.1041,0.1127,0.1205,0.1225
